Title,URL,Description,Present
Google,https://www.google.com,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include a search engine, online advertising technologies, cloud computing, software, and hardware.",1
Google (@Google)  Twitter,https://twitter.com/Google,,1
Google Home | Facebook,https://www.facebook.com�� Google,Organizing the world's information and making it universally accessible and useful.,1
"Google About Google, Our Culture & Company News",https://about.google/,"Stay up to date with�Google�company news and products. Discover stories about our culture, philosophy, and how�Google�technology is impacting others.",1
Flipkart,https://www.flipkart.com/,Flipkart�Plus � No Cost EMI � EMI on Debit Cards � Mobile Exchange Offers � What Can You Buy From�Flipkart? � Mobile Phones � Electronic Devices and Accessories.,1
Flipkart Wikipedia,https://en.wikipedia.org/wiki/Flipkart,"Flipkart�is an Indian e-commerce company, headquartered in Bangalore, Karnataka, India, and incorporated in Singapore as a private limited company.",1
Flipkart Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/flipkart,Flipkart�is an e-commerce marketplace that offers over 30 million products across 70+ categories,1
Flipkart Online Shopping App - Apps on Google Play,https://play.google.com/store/apps/details?id=com.flipkart.android&hl=en_US&gl=US,Flipkart�Online Shopping App - Download the app for a delightful shopping experience. The free online shopping app is very easy as you get to shop,1
The University of Texas at Dallas,https://www.utdallas.edu/,UT Dallas�is a rising public research university in the heart of DFW. Explore our 140+ degree programs and see why we're ranked as a top value in Texas,1
University of Texas at Dallas Wikipedia,https://en.wikipedia.org/wiki/University_of_Texas_at_Dallas,"The University of Texas at Dallas�(UTD�or�UT Dallas) is a�public�research university�in�Richardson, Texas. It is the largest public university in the Dallas area and the northernmost institution of the�University of Texas system. It was initially founded in 1961 as a private research arm of�Texas Instruments.",1
Gmail Google,https://www.google.com/gmail/,"Gmail is a free email service provided by Google. As of 2019, it had 1.5 billion active users worldwide.�",1
Gmail (@gmail)  Twitter,https://twitter.com/gmail,,1
YouTube,https://www.youtube.com,"YouTube is an American online video sharing and social media platform owned by Google. It was launched on February 14, 2005, by Steve Chen, Chad Hurley, and Jawed Karim. It is the second most visited website, right after Google itself.",1
Gmail Wikipedia,https://en.wikipedia.org/wiki/Gmail,A user typically accesses Gmail in a�web browser�or the official�mobile app. Google also supports the use of�email clients�via the�POP�and�IMAP�protocols.,1
Cricbuzz,https://www.cricbuzz.com,"Cricbuzz is an Indian cricket news website owned by Times Internet. It features, news, articles and live coverage of cricket matches including videos, text commentary, player stats and team rankings.�",1
Amazon Spend less Smile more,https://www.amazon.com,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence.",1
Amazon jobs,https://www.amazon.jobs,"Learn about Fulfillment center career opportunities, and see open jobs at our�Amazon�Fulfillment Portal. View fulfillment jobs�..",1
Walmart Official Site Shop Everyday Low Prices,https://www.walmart.com,Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets,1
Sam's Club  Wholesale Prices on Top Brands,https://www.samsclub.com,"Sam's West, Inc. is an American chain of membership-only retail warehouse clubs owned and operated by Walmart Inc.",1
Sam's Club Jobs - Walmart Careers,https://careers.walmart.com ,"Learn more about hourly jobs at�Sam's�Club. Apply online today! ... At�Sam's�Club, opportunity comes in bulk.",1
"Credit Card, Mortgage, Banking, Auto, Chase Online",https://www.chase.com,"JPMorgan Chase Bank, N.A., doing business as Chase Bank or often as Chase, is an American national bank�",1
JPMorgan Chase & Co.,https://www.jpmorganchase.com,"JPMorgan�Chase�is working to drive a diverse, inclusive culture for our employees and our businesses.",1
"Bank of America - Banking, Credit Cards, Loans",https://www.bankofamerica.com,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina.�",1
Michaels Official Site,https://www.michaels.com/,"Michaels Stores, Inc., more commonly known as Michaels, is a privately held chain of 1,252 American and Canadian arts and crafts stores, as of January 2021.�",1
"Michaels Stores � Art Supplies, Crafts & Framing",https://www.michaels.com,"Michaels�has the products you need for home decor, framing, scrapbooking and more. Shop and save on arts and crafts supplies online or at a store near you.",1
"Kroger : Shop Groceries, Find Digital Coupons & Order Online",https://www.kroger.com,"The Kroger Company, or simply Kroger, is an American retail company that operates supermarkets and multi-department stores throughout the United States.",1
Kroger Delivery - Order Kroger Online,https://www.instacart.com/,"Shop�Kroger�favorites and get delivery right to your door. Terms apply. Shop stores you love online and add your favorite items. Live Updates. Pick of Time. Types: Fresh Produce, Dairy.",1
Ross Dress For Less,https://www.rossstores.com,"Ross�Dress for Less offers the best bargains on the latest trends in clothing, shoes, home decor and more! Find your store today!",1
Ross Careers,https://jobs.rossstores.com/,Job Search�- Retail�- Our Locations�- Corporate�- Retail Management,1
Facebook - log in or sign up,https://www.facebook.com,"Meta Platforms, Inc., doing business as Meta and formerly known as Facebook, Inc., and TheFacebook, Inc., is an American multinational technology conglomerate based in Menlo Park, California.",1
Instagram,https://www.instagram.com,Instagram is an American photo and video sharing social networking service founded by Kevin Systrom and Mike Krieger.,1
Snapchat - The fastest way to share a moment!,https://www.snapchat.com,"Snapchat is an American multimedia instant messaging app and service developed by Snap Inc., originally Snapchat Inc.",1
"Adobe  Creative, marketing and document management",https://www.adobe.com,"Adobe�is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications.",1
Adobe Developer,https://www.adobe.io,The most memorable digital experiences are unleashed by developer creativity.�Adobe�products and services empower developers.,1
City Bank,https://www.city.bank,Make your banking better with an account from�City Bank. We offer simple accounts with added features such as a free�City Bank�MasterCard,1
Goldman Sachs,https://www.goldmansachs.com,"The Goldman Sachs Group, Inc. is an American multinational investment bank and financial services company headquartered in New York City.",1
KFC  World Famous Fried Chicken,https://www.kfc.com,"KFC is an American fast food restaurant chain headquartered in Louisville, Kentucky that specializes in fried chicken. It is the world's second-largest restaurant chain after McDonald's, with 22,621 locations globally in 150 countries�",1
"McDonald's Burgers, Fries & More",https://www.mcdonalds.com ,"McDonald's is an American multinational fast food corporation, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States",1
Chipotle Mexican Grill�,https://www.chipotle.com,"Chipotle Mexican Grill, Inc., often known simply as Chipotle, is an American chain of fast casual restaurants in the United States, United Kingdom",1
Cinemark Tickets On Sale,https://www.cinemark.com/,"Cinemark Holdings, Inc. is an American movie theater chain that started operations in 1984 and since then it has operated theaters with hundreds of locations throughout the Americas and in Taiwan.�",1
Inox movies,https://www.inoxmovies.com,"INOX Leisure or INOX Movies is an Indian movie theater chain. As of March 2022, it has 161 multiplexes and 681 screens in 72 cities of the country.",1
Staples Official Site,https://www.staples.com/,"Staples�Provides Custom Solutions to Help Organizations Achieve their Goals.�Staples�is Helping Businesses of All Sizes be More Productive, Connected and Inspired.",1
American Honda Motor Co Inc. - Official Site,https://www.honda.com,Explore an innovative line of quality products from American�Honda�Motor Company. Find the latest news and information on�Honda�and Acura brand products.,1
Hyundai USA - Official Site,https://www.hyundaiusa.com,"Official site for�Hyundai�Motor America. Explore our new models, features, offers, MPG, and find dealer information all at Hyundaiusa.com.",1
"BMW USA: Luxury SUVs, Sedans, Coupes, Convertibles",https://www.bmwusa.com,"Experience the Performance, Luxury, and Innovation of the Ultimate Driving Machine. Enjoy Performance & Handling That Will Make Your Pulse Race Faster. Available Now.",1
